_id,Programme,University,Programme_Fee,Country,Address,Latitude,Longitude
28,Master of Science in Mechanical and Aerospace Engineering (M.S.),The George Washington University - School of Engineering & Applied Science,1075,USA,"Science & Engineering Hall 800 22nd Street NW Suite 2885, 20052, Washington",-77.0494303,38.89992
29,Master of Science in Systems Engineering,The George Washington University - School of Engineering & Applied Science,1075,USA,"Science & Engineering Hall 800 22nd Street NW Suite 2885, 20052, Washington",-77.0494303,38.89992
30,Master of Science in Telecommunications Engineering,The George Washington University - School of Engineering & Applied Science,1075,USA,"Science & Engineering Hall 800 22nd Street NW Suite 2885, 20052, Washington",-77.0494303,38.89992
31,Master of Science in Computer Science and Information Systems,University of Michigan-Flint,633,USA,"303 E. Kearsley Street, MI 48502, Flint",-83.6877307,43.019911
32,Master of Science in Athletic Training,"King's College - Pennsylvania, USA",750,USA,"133 N River St Wilkes-Barre, Pennsylvania 18711, , Wilkes-Barre",-75.8792655,41.2499979
33,Master in Community Development,University of New Hampshire Carsey School of Public Policy,31140,USA,"Carsey School of Public Policy Huddleston Hall 73 Main Street Durham, NH, 03824, Durham",-70.9285883,43.1347803
34,Master of Public Administration,University of New Hampshire Carsey School of Public Policy,31140,USA,"Carsey School of Public Policy Huddleston Hall 73 Main Street Durham, NH, 03824, Durham",-70.9285883,43.1347803
35,Master of Arts in Asian Studies,The George Washington University - Elliott School Of International Affairs,1890,USA,"Elliott School of International Affairs 1957 E Street, NW , 20052, Washington",-77.0439572,38.8962277
36,Master of Arts in European and Eurasian Studies,The George Washington University - Elliott School Of International Affairs,1890,USA,"Elliott School of International Affairs 1957 E Street, NW , 20052, Washington",-77.0439572,38.8962277
37,Master of Arts in Global Communication,The George Washington University - Elliott School Of International Affairs,1765,USA,"Elliott School of International Affairs 1957 E Street, NW , 20052, Washington",-77.0439572,38.8962277
38,Master of Arts in International Affairs,The George Washington University - Elliott School Of International Affairs,1890,USA,"Elliott School of International Affairs 1957 E Street, NW , 20052, Washington",-77.0439572,38.8962277
39,Master of Arts in International Development Studies,The George Washington University - Elliott School Of International Affairs,1890,USA,"Elliott School of International Affairs 1957 E Street, NW , 20052, Washington",-77.0439572,38.8962277
40,Master of Arts in International Economic Policy,The George Washington University - Elliott School Of International Affairs,1890,USA,"Elliott School of International Affairs 1957 E Street, NW , 20052, Washington",-77.0439572,38.8962277
41,Master of Arts in International Science and Technology Policy,The George Washington University - Elliott School Of International Affairs,1890,USA,"Elliott School of International Affairs 1957 E Street, NW , 20052, Washington",-77.0439572,38.8962277
42,Master of Arts in Latin American and Hemispheric Studies,The George Washington University - Elliott School Of International Affairs,1890,USA,"Elliott School of International Affairs 1957 E Street, NW , 20052, Washington",-77.0439572,38.8962277
43,Master of Arts in Middle East Studies,The George Washington University - Elliott School Of International Affairs,1890,USA,"Elliott School of International Affairs 1957 E Street, NW , 20052, Washington",-77.0439572,38.8962277
44,Master of Arts in Security Policy Studies,The George Washington University - Elliott School Of International Affairs,1890,USA,"Elliott School of International Affairs 1957 E Street, NW , 20052, Washington",-77.0439572,38.8962277
45,Master of International Policy and Practice,The George Washington University - Elliott School Of International Affairs,1890,USA,"Elliott School of International Affairs 1957 E Street, NW , 20052, Washington",-77.0439572,38.8962277
46,MS Analytics,"Kogod School of Business, American University",1759,USA,"4400 Massachusetts Avenue, NW, 20016, Washington",-77.0887665,38.936049
47,MS Finance,"Kogod School of Business, American University",1759,USA,"4400 Massachusetts Avenue, NW, 20016, Washington",-77.0887665,38.936049
48,MS in Accounting,"Kogod School of Business, American University",1759,USA,"4400 Massachusetts Avenue, NW, 20016, Washington",-77.0887665,38.936049
49,MS Marketing,"Kogod School of Business, American University",1759,USA,"4400 Massachusetts Avenue, NW, 20016, Washington",-77.0887665,38.936049
50,MS Real Estate,"Kogod School of Business, American University",1759,USA,"4400 Massachusetts Avenue, NW, 20016, Washington",-77.0887665,38.936049
51,MS Sustainability Management,"Kogod School of Business, American University",1759,USA,"4400 Massachusetts Avenue, NW, 20016, Washington",-77.0887665,38.936049
52,MS Taxation,"Kogod School of Business, American University",1759,USA,"4400 Massachusetts Avenue, NW, 20016, Washington",-77.0887665,38.936049
53,Master of Dispute Resolution,Pepperdine University School of Law,/,USA,"24255 Pacific Coast Highway, Malibu, CA 90263, , Malibu",-118.7034357,34.0347766
54,Master of Science in Business of Fashion,Rutgers Business School - Newark and New Brunswick,13852,USA,"Rutgers Business School???Newark 1 Washington Park | Newark, NJ 07102, 07102, Newark",-74.1723667,40.735657
55,Master of Science in Digital Marketing,Rutgers Business School - Newark and New Brunswick,13860,USA,"New Brunswick Campus 100 Rockafeller Road, Piscataway, NJ 08854, 08854, New Brunswick",-74.440951,40.523317
56,Masters in Supply Chain Management,Rutgers Business School - Newark and New Brunswick,3792,USA,"New Brunswick Campus 100 Rockafeller Road, Piscataway, NJ 08854, 08854, New Brunswick",-74.440951,40.523317
57,Online Master of Accountancy in Governmental Accounting,Rutgers Business School - Newark and New Brunswick,11940,USA,"New Brunswick Campus 100 Rockafeller Road, Piscataway, NJ 08854, 08854, New Brunswick",-74.440951,40.523317
58,Executive Master in Digital Innovation and Entrepreneurial Leadership,ESCP Business School - Berlin campus,33427,Germany,"ESCP, Heubnerweg 8-10, D-14059, Berlin",13.2892246,52.5241822
59,Master of Finance,University of Maryland College Park,49963,USA,"Robert H. Smith School of Business, University of Maryland, College Park, , , College Park",-76.9470355,38.983057
60,MS in Accounting,University of Maryland College Park,49892,USA,"Robert H. Smith School of Business, University of Maryland, College Park, , , College Park",-76.9470355,38.983057
61,MS in Information Systems,University of Maryland College Park,49892,USA,"Robert H. Smith School of Business, University of Maryland, College Park, , , College Park",-76.9470355,38.983057
62,MS in Marketing Analytics,University of Maryland College Park,49892,USA,"Robert H. Smith School of Business, University of Maryland, College Park, , , College Park",-76.9470355,38.983057
63,MS in Supply Chain Management,University of Maryland College Park,49042,USA,"Robert H. Smith School of Business, University of Maryland, College Park, , , College Park",-76.9470355,38.983057
64,Masters in Business Analytics,Hult International Business School,49500,USA,"Hult International Business School San Francisco Campus 1355 Sansome Street, 94133, San Francisco",-122.4032548,37.8029025
65,Masters in International Business,Hult International Business School,49500,United Kingdom,"London - Postgraduate Campus 37-38 John Street, WC1N 2AT, London",-0.115201,51.521233
66,Masters in International Marketing,Hult International Business School,47500,United Kingdom,"London - Postgraduate Campus 37-38 John Street, WC1N 2AT, London",-0.115201,51.521233
67,Masters in Finance,Hult International Business School,47500,USA,"Hult International Business School Boston Campus 1 Education Street, 02141, Cambridge",-71.0706403,42.3699207
68,M.S. In General Psychology,Nova Southeastern University,/,USA,"3301 College Avenue, 33314, Fort Lauderdale",-80.2392738,26.0768838
69,M.S. in Counseling,Nova Southeastern University,/,USA,"3301 College Avenue, 33314, Fort Lauderdale",-80.2392738,26.0768838
70,M.S. in Forensic Psychology,Nova Southeastern University,790,USA,"3301 College Avenue, 33314, Fort Lauderdale",-80.2392738,26.0768838
71,Master of Science in Information Technology and Management,Dallas Baptist University,1004,USA,"3000 Mountain Creek Pkwy,, , Dallas",-96.9469828,32.7100766
72,Master of Science in Management,Dallas Baptist University,1004,USA,"3000 Mountain Creek Pkwy,, , Dallas",-96.9469828,32.7100766
73,Master of Science in Data Science and Analytics Degree - Online,Graceland University - Independence Campus,9000,USA,"Graceland University 1401 W. Truman Rd. Independence, MO 64050, , Independence",-94.4155068,39.0911161
74,Master of Accounting Practice,"University of Delaware, Alfred Lerner College of Business & Economics",950,USA,", 19716, Newark",-75.7502314,39.6673566
75,MSc in Accounting,"University of Delaware, Alfred Lerner College of Business & Economics",950,USA,", 19716, Newark",-75.7502314,39.6673566
76,MSc in Finance,"University of Delaware, Alfred Lerner College of Business & Economics",950,USA,", 19716, Newark",-75.7502314,39.6673566
77,MSc in Hospitality Business Management,"University of Delaware, Alfred Lerner College of Business & Economics",950,USA,", 19716, Newark",-75.7502314,39.6673566
78,MSc in Business Analytics and Information Management,"University of Delaware, Alfred Lerner College of Business & Economics",950,USA,", 19716, Newark",-75.7502314,39.6673566
79,MA School Counseling,University of San Francisco - School of Education,955,USA,"USF School of Education 2130 Fulton Street, 94117-1071, San Francisco",-122.4523889,37.7748065
80,Master in Catholic Education Leadership,University of San Francisco - School of Education,1130,USA,"USF School of Education 2130 Fulton Street, 94117-1071, San Francisco",-122.4523889,37.7748065
81,Master in Educational Technology,University of San Francisco - School of Education,1130,USA,"USF School of Education 2130 Fulton Street, 94117-1071, San Francisco",-122.4523889,37.7748065
82,Master in Higher Education and Student Affairs,University of San Francisco - School of Education,1130,USA,"USF School of Education 2130 Fulton Street, 94117-1071, San Francisco",-122.4523889,37.7748065
83,Master in Human Rights Education,University of San Francisco - School of Education,1130,USA,"USF School of Education 2130 Fulton Street, 94117-1071, San Francisco",-122.4523889,37.7748065
84,Master in International and Multicultural Education,University of San Francisco - School of Education,1130,USA,"USF School of Education 2130 Fulton Street, 94117-1071, San Francisco",-122.4523889,37.7748065
85,Master in Organization and Leadership,University of San Francisco - School of Education,1130,USA,"USF School of Education 2130 Fulton Street, 94117-1071, San Francisco",-122.4523889,37.7748065
86,Master in Special Education,University of San Francisco - School of Education,1130,USA,"USF School of Education 2130 Fulton Street, 94117-1071, San Francisco",-122.4523889,37.7748065
87,Master in Teaching,University of San Francisco - School of Education,955,USA,"USF School of Education 2130 Fulton Street, 94117-1071, San Francisco",-122.4523889,37.7748065
88,Masters Program in TESOL,University of San Francisco - School of Education,1130,USA,"USF School of Education 2130 Fulton Street, 94117-1071, San Francisco",-122.4523889,37.7748065
89,M.Acc. with a concentration in Public Accounting,"Nova Southeastern University, H. Wayne Huizenga College of Business & Entrepreneurship",34743,USA,"3301 College Avenue, 33314-7796, Fort Lauderdale",-80.240128,26.0788141
90,M.Acc. with a concentration in Taxation,"Nova Southeastern University, H. Wayne Huizenga College of Business & Entrepreneurship",34743,USA,"3301 College Avenue, 33314-7796, Fort Lauderdale",-80.240128,26.0788141
91,Master of Public Administration,"Nova Southeastern University, H. Wayne Huizenga College of Business & Entrepreneurship",34743,USA,"3301 College Avenue, 33314-7796, Fort Lauderdale",-80.240128,26.0788141
92,Master of Science in Human Resource Management,"Nova Southeastern University, H. Wayne Huizenga College of Business & Entrepreneurship",34743,USA,"3301 College Avenue, 33314-7796, Fort Lauderdale",-80.240128,26.0788141
93,Master of Science in Philanthropy & Non-profit Management,"Nova Southeastern University, H. Wayne Huizenga College of Business & Entrepreneurship",34743,USA,"3301 College Avenue, 33314-7796, Fort Lauderdale",-80.240128,26.0788141
94,Master of Science in Real Estate Development,"Nova Southeastern University, H. Wayne Huizenga College of Business & Entrepreneurship",34743,USA,"3301 College Avenue, 33314-7796, Fort Lauderdale",-80.240128,26.0788141
95,M.Acc. with a concentration in Managerial Accounting,"Nova Southeastern University, H. Wayne Huizenga College of Business & Entrepreneurship",34743,USA,"3301 College Avenue, 33314-7796, Fort Lauderdale",-80.240128,26.0788141
96,Master of Science (MSc) in Big Data Analytics,"Bay Atlantic University - Washington, D.C.",18000,USA,"BAU International University 1510 H Street NW, , 20005 , Washington",-77.034455,38.9000739
97,Master of Science (MSc) in Cyber Security,"Bay Atlantic University - Washington, D.C.",18000,USA,"BAU International University 1510 H Street NW, , 20005 , Washington",-77.034455,38.9000739
98,MS Business Analytics and Information Management,"Krannert School of Management, Purdue University",24300,USA,"Krannert Building 403 W. State Street , 47907-2056, West Lafayette",-86.9109198,40.4235207
99,MS Global Supply Chain Management,"Krannert School of Management, Purdue University",24390,USA,"Krannert Building 403 W. State Street , 47907-2056, West Lafayette",-86.9109198,40.4235207
100,MS Human Resource Management,"Krannert School of Management, Purdue University",33612,USA,"Krannert Building 403 W. State Street , 47907-2056, West Lafayette",-86.9109198,40.4235207
101,MS Marketing,"Krannert School of Management, Purdue University",22600,USA,"Krannert Building 403 W. State Street , 47907-2056, West Lafayette",-86.9109198,40.4235207
102,Online MS Business Analytics,"Krannert School of Management, Purdue University",/,USA,"Krannert Building 403 W. State Street , 47907-2056, West Lafayette",-86.9109198,40.4235207
103,Online MS Global Supply Chain Management,"Krannert School of Management, Purdue University",/,USA,"Krannert Building 403 W. State Street , 47907-2056, West Lafayette",-86.9109198,40.4235207
104,Online MS Human Resource Management,"Krannert School of Management, Purdue University",/,USA,"Krannert Building 403 W. State Street , 47907-2056, West Lafayette",-86.9109198,40.4235207
105,Master of Science Engineering Management (MSEM),Westcliff University,525,USA,", 92612, Irvine",-117.8282121,33.6588951
106,Master of Arts in Teaching English to Speakers of Other Languages (MA TESOL),Westcliff University,/,USA,", 92612, Irvine",-117.8282121,33.6588951
107,M.A. in Asia Pacific Studies,University of San Francisco - College of Arts & Sciences,21440,USA,"2130 Fulton Street San Francisco, California, United States , 94117, San Francisco",-122.4502564,37.7765978
108,M.A. in International Studies,University of San Francisco - College of Arts & Sciences,32160,USA,"2130 Fulton Street San Francisco, California, United States , 94117, San Francisco",-122.4502564,37.7765978
109,M.A. in Museum Studies,University of San Francisco - College of Arts & Sciences,32160,USA,"2130 Fulton Street San Francisco, California, United States , 94117, San Francisco",-122.4502564,37.7765978
110,M.S. in Computer Science,University of San Francisco - College of Arts & Sciences,21440,USA,"2130 Fulton Street San Francisco, California, United States , 94117, San Francisco",-122.4502564,37.7765978
111,M.S. in Data Science,University of San Francisco - College of Arts & Sciences,38860,USA,"2130 Fulton Street San Francisco, California, United States , 94117, San Francisco",-122.4502564,37.7765978
112,M.S. in Environmental Management,University of San Francisco - College of Arts & Sciences,21440,USA,"2130 Fulton Street San Francisco, California, United States , 94117, San Francisco",-122.4502564,37.7765978
113,M.S. in International and Development Economics,University of San Francisco - College of Arts & Sciences,24120,USA,"2130 Fulton Street San Francisco, California, United States , 94117, San Francisco",-122.4502564,37.7765978
114,MA in Professional Communication,University of San Francisco - College of Arts & Sciences,20100,USA,"2130 Fulton Street San Francisco, California, United States , 94117, San Francisco",-122.4502564,37.7765978
115,Master in Biotechnology,University of San Francisco - College of Arts & Sciences,24120,USA,"2130 Fulton Street San Francisco, California, United States , 94117, San Francisco",-122.4502564,37.7765978
116,Master in Energy Systems Management,University of San Francisco - College of Arts & Sciences,22780,USA,"2130 Fulton Street San Francisco, California, United States , 94117, San Francisco",-122.4502564,37.7765978
117,Master in Migration Studies (MIMS),University of San Francisco - College of Arts & Sciences,22780,USA,"2130 Fulton Street San Francisco, California, United States , 94117, San Francisco",-122.4502564,37.7765978
118,Master in Sport Management,University of San Francisco - College of Arts & Sciences,20100,USA,"2130 Fulton Street San Francisco, California, United States , 94117, San Francisco",-122.4502564,37.7765978
119,Master of Arts in Urban and Public Affairs,University of San Francisco - College of Arts & Sciences,24120,USA,"2130 Fulton Street San Francisco, California, United States , 94117, San Francisco",-122.4502564,37.7765978
120,Master of Fine Arts in Writing,University of San Francisco - College of Arts & Sciences,20100,USA,"2130 Fulton Street San Francisco, California, United States , 94117, San Francisco",-122.4502564,37.7765978
121,MS Applied Economics,University of San Francisco - College of Arts & Sciences,24120,USA,"2130 Fulton Street San Francisco, California, United States , 94117, San Francisco",-122.4502564,37.7765978
122,Master of Arts in Teaching in Music (Los Angeles),Longy School of Music of Bard College,45900,USA,", , Los Angeles",-118.2436596,34.0522265
123,Master of Music,Longy School of Music of Bard College,45900,USA,"Garden Street,27, 02138, Cambridge",-71.1234524,42.3786248
124,Master of Music in Music Education (MM/ME) in Cambridge MA,Longy School of Music of Bard College,45900,USA,"Garden Street,27, 02138, Cambridge",-71.1234524,42.3786248
125,Master of Arts in TESOL / Bilingual Education,The University of Findlay,/,USA,"1000 North Main Street, 45840, Findlay",-83.6532127,41.0532089
126,Master of Arts in Education,The University of Findlay,495,USA,"1000 North Main Street, 45840, Findlay",-83.6532127,41.0532089
127,Master of Science in Applied Security and Analytics,The University of Findlay,/,USA,"1000 North Main Street, 45840, Findlay",-83.6532127,41.0532089
128,"Master of Science in Environmental, Safety and Health Management",The University of Findlay,/,USA,"1000 North Main Street, 45840, Findlay",-83.6532127,41.0532089
129,Master of Science in Health Informatics,The University of Findlay,/,USA,"1000 North Main Street, 45840, Findlay",-83.6532127,41.0532089
130,MS in Bioinformatics,University of Memphis,981,USA,"3720 Alumni Ave, 38152, Memphis",-89.9381167,35.1187216
131,MS in Biological Sciences,University of Memphis,981,USA,"3720 Alumni Ave, 38152, Memphis",-89.9381167,35.1187216
132,MS in Computer Science,University of Memphis,981,USA,"3720 Alumni Ave, 38152, Memphis",-89.9381167,35.1187216
133,MS in Earth Sciences,University of Memphis,981,USA,"3720 Alumni Ave, 38152, Memphis",-89.9381167,35.1187216
134,MS in Engineering,University of Memphis,981,USA,"3720 Alumni Ave, 38152, Memphis",-89.9381167,35.1187216
135,MS in Mathematical Sciences,University of Memphis,981,USA,"3720 Alumni Ave, 38152, Memphis",-89.9381167,35.1187216
136,Ms in Physics and Materials Science,University of Memphis,981,USA,"3720 Alumni Ave, 38152, Memphis",-89.9381167,35.1187216
137,MS in Accounting,Yeshiva University,35100,USA,"215 Lexington Avenue, 10016, New York",-73.9801687,40.7453145
138,MS in Artificial Intelligence,Yeshiva University,35100,USA,"215 Lexington Avenue, 10016, New York",-73.9801687,40.7453145
139,MS in Biotechnology Management and Entrepreneurship,Yeshiva University,34560,USA,"215 Lexington Avenue, 10016, New York",-73.9801687,40.7453145
140,MS in Cybersecurity,Yeshiva University,35100,USA,"215 Lexington Avenue, 10016, New York",-73.9801687,40.7453145
141,MS in Data Analytics and Visualization,Yeshiva University,28800,USA,"215 Lexington Avenue, 10016, New York",-73.9801687,40.7453145
142,MS in Digital Marketing and media,Yeshiva University,28800,USA,"215 Lexington Avenue, 10016, New York",-73.9801687,40.7453145
143,MS in Quantitative Economics,Yeshiva University,/,USA,"215 Lexington Avenue, 10016, New York",-73.9801687,40.7453145
144,MS in Real Estate,Yeshiva University,35100,USA,"215 Lexington Avenue, 10016, New York",-73.9801687,40.7453145
145,MS in Taxation,Yeshiva University,35100,USA,"215 Lexington Avenue, 10016, New York",-73.9801687,40.7453145
146,Master of Science in Conflict Management and Resolution,Joan B. Kroc School of Peace Studies at the University of San Diego,/,USA,"University of San Diego 5998 Alcal??? Park San Diego, CA, 92110, San Diego",-117.1882064,32.771917
147,Master of Arts in Peace and Justice,Joan B. Kroc School of Peace Studies at the University of San Diego,/,USA,"University of San Diego 5998 Alcal??? Park San Diego, CA, 92110, San Diego",-117.1882064,32.771917
148,Master of Arts in Social Innovation,Joan B. Kroc School of Peace Studies at the University of San Diego,/,USA,"University of San Diego 5998 Alcal??? Park San Diego, CA, 92110, San Diego",-117.1882064,32.771917
149,MSc in Bioengineering,Tufts University - School of Engineering,50910,USA,"200 College Ave, Medford, MA 02155, USA, , Medford",-71.1168428,42.4060725
150,MSc in Chemical and Biological Engineering,Tufts University - School of Engineering,50910,USA,"200 College Ave, Medford, MA 02155, USA, , Medford",-71.1168428,42.4060725
151,MSc in Civil and Environmental Engineering,Tufts University - School of Engineering,50910,USA,"200 College Ave, Medford, MA 02155, USA, , Medford",-71.1168428,42.4060725
152,MSc in Computer Engineering,Tufts University - School of Engineering,50910,USA,"200 College Ave, Medford, MA 02155, USA, , Medford",-71.1168428,42.4060725
153,MSc in Computer Science,Tufts University - School of Engineering,50910,USA,"200 College Ave, Medford, MA 02155, USA, , Medford",-71.1168428,42.4060725
154,MSc in Cybersecurity and Public Policy,Tufts University - School of Engineering,50910,USA,"200 College Ave, Medford, MA 02155, USA, , Medford",-71.1168428,42.4060725
155,MSc in Data Science,Tufts University - School of Engineering,50910,USA,"200 College Ave, Medford, MA 02155, USA, , Medford",-71.1168428,42.4060725
156,MSc in Electrical Engineering,Tufts University - School of Engineering,50910,USA,"200 College Ave, Medford, MA 02155, USA, , Medford",-71.1168428,42.4060725
157,MSc in Engineering Management,Tufts University - School of Engineering,54304,USA,"200 College Ave, Medford, MA 02155, USA, , Medford",-71.1168428,42.4060725
158,MSc in Engineering Management Online,Tufts University - School of Engineering,54304,USA,"200 College Ave, Medford, MA 02155, USA, , Medford",-71.1168428,42.4060725
159,MSc in Human Factors Engineering,Tufts University - School of Engineering,1802,USA,"200 College Ave, Medford, MA 02155, USA, , Medford",-71.1168428,42.4060725
160,MSc in Human-Robot Interaction,Tufts University - School of Engineering,50910,USA,"200 College Ave, Medford, MA 02155, USA, , Medford",-71.1168428,42.4060725
161,MSc in Innovation and Management,Tufts University - School of Engineering,50910,USA,"200 College Ave, Medford, MA 02155, USA, , Medford",-71.1168428,42.4060725
162,MSc in Materials Science and Engineering,Tufts University - School of Engineering,50910,USA,"200 College Ave, Medford, MA 02155, USA, , Medford",-71.1168428,42.4060725
163,MSc in Mechanical Engineering,Tufts University - School of Engineering,50910,USA,"200 College Ave, Medford, MA 02155, USA, , Medford",-71.1168428,42.4060725
164,MSc in Offshore Wind Energy Engineering,Tufts University - School of Engineering,50910,USA,"200 College Ave, Medford, MA 02155, USA, , Medford",-71.1168428,42.4060725
165,MSc in Software Systems Development,Tufts University - School of Engineering,50910,USA,"200 College Ave, Medford, MA 02155, USA, , Medford",-71.1168428,42.4060725
166,MSc in Software Engineering,Stevens Institute of Technology - Graduate Studies,18340,USA,"Castle Point Terrace,1, 07030, Hoboken",-74.02556633,40.74471995
167,Master in Applied Artificial Intelligence,Stevens Institute of Technology - Graduate Studies,18340,USA,"Castle Point Terrace,1, 07030, Hoboken",-74.02556633,40.74471995
168,Master in Business Intelligence & Analytics,Stevens Institute of Technology - Graduate Studies,18340,USA,"Castle Point Terrace,1, 07030, Hoboken",-74.02556633,40.74471995
169,Master in Construction Engineering and Management,Stevens Institute of Technology - Graduate Studies,18340,USA,"Castle Point Terrace,1, 07030, Hoboken",-74.02556633,40.74471995
170,Master in Cybersecurity,Stevens Institute of Technology - Graduate Studies,18340,USA,"Castle Point Terrace,1, 07030, Hoboken",-74.02556633,40.74471995
171,Master in Data Science,Stevens Institute of Technology - Graduate Studies,18340,USA,"Castle Point Terrace,1, 07030, Hoboken",-74.02556633,40.74471995
172,Master in Electrical & Computer Engineering,Stevens Institute of Technology - Graduate Studies,18340,USA,"Castle Point Terrace,1, 07030, Hoboken",-74.02556633,40.74471995
173,Master in Machine Learning,Stevens Institute of Technology - Graduate Studies,18340,USA,"Castle Point Terrace,1, 07030, Hoboken",-74.02556633,40.74471995
174,Master in Mechanical Engineering,Stevens Institute of Technology - Graduate Studies,18340,USA,"Castle Point Terrace,1, 07030, Hoboken",-74.02556633,40.74471995
175,Master of Engineering in Systems Engineering,Stevens Institute of Technology - Graduate Studies,18340,USA,"Castle Point Terrace,1, 07030, Hoboken",-74.02556633,40.74471995
176,Master of Science Information Technology (MSIT),Westcliff University,/,USA,", 92612, Irvine",-117.8282121,33.6588951
177,Master of Science Computer Science (MSCS),Westcliff University,/,USA,", 92612, Irvine",-117.8282121,33.6588951
178,Executive M.S. in International Affairs,"Seton Hall University, School of Diplomacy and International Relations",/,USA,"400 South Orange Avenue , 07079, South Orange",-74.2460794,40.7425259
179,J.D./M.A. in Law and Diplomacy (Dual Degree),"Seton Hall University, School of Diplomacy and International Relations",/,USA,"400 South Orange Avenue , 07079, South Orange",-74.2460794,40.7425259
180,M.B.A./M.A. in Diplomacy and International Relations (Dual Degree),"Seton Hall University, School of Diplomacy and International Relations",/,USA,"400 South Orange Avenue , 07079, South Orange",-74.2460794,40.7425259
181,Online Executive Master of Science in International Affairs,"Seton Hall University, School of Diplomacy and International Relations",/,USA,"400 South Orange Avenue , 07079, South Orange",-74.2460794,40.7425259
182,Doble Master in Matte Painting and Ilustration Concept-Art,Universal Arts School,/,USA,"gower Street 1627, , Los Angeles",-118.3232661,34.1006389
183,Doble Master in Matte Painting and VFX with Houdini,Universal Arts School,/,USA,"gower Street 1627, , Los Angeles",-118.3232661,34.1006389
